site_id,expt_id,chamber_id,start_time,end_time,Reason,QC_code
EHD,yield1,32,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,33,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,34,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,35,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,36,2019-03-16T00:00:00Z,2019-03-29T23:59:00Z,Skyline stopped,
EHD,yield1,1,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,2,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,3,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,4,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,5,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,6,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,7,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,8,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,9,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,10,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,11,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,12,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,13,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,14,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,15,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,16,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,17,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,18,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,19,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,20,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,21,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,22,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,23,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,24,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,25,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,26,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,27,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,28,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,29,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,30,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,31,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,32,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,33,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,34,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,35,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,yield1,36,2019-06-14T14:00:00Z,2019-06-20T12:00:00Z,Skyline stopped,
EHD,digestate1,17,2023-04-07T21:00:00Z,2023-07-04T22:00:00Z,Picarro values,
EHD,digestate1,6,2023-07-22T16:00:00Z,2023-07-22T17:00:00Z,Picarro values,
EHD,digestate1,1,2023-04-08T00:00:00Z,2023-08-04T23:59:00Z,,
EHD,digestate1,2,2023-04-08T00:00:00Z,2023-08-04T23:59:00Z,,
EHD,digestate1,3,2023-04-08T00:00:00Z,2023-08-04T23:59:00Z,,
EHD,digestate1,4,2023-04-08T00:00:00Z,2023-08-04T23:59:00Z,,
EHD,digestate1,5,2023-04-08T00:00:00Z,2023-08-04T23:59:00Z,,
EHD,digestate1,6,2023-04-08T00:00:00Z,2023-08-04T23:59:00Z,,
EHD,digestate1,7,2023-04-08T00:00:00Z,2023-08-04T23:59:00Z,,
EHD,digestate1,8,2023-04-08T00:00:00Z,2023-08-04T23:59:00Z,,
EHD,digestate1,9,2023-04-08T00:00:00Z,2023-08-04T23:59:00Z,,
EHD,digestate1,10,2023-04-08T00:00:00Z,2023-08-04T23:59:00Z,,
EHD,digestate1,11,2023-04-08T00:00:00Z,2023-08-04T23:59:00Z,,
EHD,digestate1,12,2023-04-08T00:00:00Z,2023-08-04T23:59:00Z,,
EHD,digestate1,13,2023-04-08T00:00:00Z,2023-08-04T23:59:00Z,,
EHD,digestate1,14,2023-04-08T00:00:00Z,2023-08-04T23:59:00Z,,
EHD,digestate1,15,2023-04-08T00:00:00Z,2023-08-04T23:59:00Z,,
EHD,digestate1,16,2023-04-08T00:00:00Z,2023-08-04T23:59:00Z,,
EHD,digestate1,17,2023-04-08T00:00:00Z,2023-08-04T23:59:00Z,,
EHD,digestate1,18,2023-04-08T00:00:00Z,2023-08-04T23:59:00Z,,
EHD,digestate1,1,2023-05-26T00:00:00Z,2023-06-03T00:00:00Z,,
EHD,digestate1,2,2023-05-26T00:00:00Z,2023-06-03T00:00:00Z,,
EHD,digestate1,3,2023-05-26T00:00:00Z,2023-06-03T00:00:00Z,,
EHD,digestate1,4,2023-05-26T00:00:00Z,2023-06-03T00:00:00Z,,
EHD,digestate1,5,2023-05-26T00:00:00Z,2023-06-03T00:00:00Z,,
EHD,digestate1,6,2023-05-26T00:00:00Z,2023-06-03T00:00:00Z,,
EHD,digestate1,7,2023-05-26T00:00:00Z,2023-06-03T00:00:00Z,,
EHD,digestate1,8,2023-05-26T00:00:00Z,2023-06-03T00:00:00Z,,
EHD,digestate1,9,2023-05-26T00:00:00Z,2023-06-03T00:00:00Z,,
EHD,digestate1,10,2023-05-26T00:00:00Z,2023-06-03T00:00:00Z,,
EHD,digestate1,11,2023-05-26T00:00:00Z,2023-06-03T00:00:00Z,,
EHD,digestate1,12,2023-05-26T00:00:00Z,2023-06-03T00:00:00Z,,
EHD,digestate1,13,2023-05-26T00:00:00Z,2023-06-03T00:00:00Z,,
EHD,digestate1,14,2023-05-26T00:00:00Z,2023-06-03T00:00:00Z,,
EHD,digestate1,15,2023-05-26T00:00:00Z,2023-06-03T00:00:00Z,,
EHD,digestate1,16,2023-05-26T00:00:00Z,2023-06-03T00:00:00Z,,
EHD,digestate1,17,2023-05-26T00:00:00Z,2023-06-03T00:00:00Z,,
EHD,digestate1,18,2023-05-26T00:00:00Z,2023-06-03T00:00:00Z,,
EHD,digestate1,1,2023-06-04T00:00:00Z,2024-06-10T00:00:00Z,,
EHD,digestate1,2,2023-06-04T00:00:00Z,2024-06-10T00:00:00Z,,
EHD,digestate1,3,2023-06-04T00:00:00Z,2024-06-10T00:00:00Z,,
EHD,digestate1,4,2023-06-04T00:00:00Z,2024-06-10T00:00:00Z,,
EHD,digestate1,5,2023-06-04T00:00:00Z,2024-06-10T00:00:00Z,,
EHD,digestate1,6,2023-06-04T00:00:00Z,2024-06-10T00:00:00Z,,
EHD,digestate1,7,2023-06-04T00:00:00Z,2024-06-10T00:00:00Z,,
EHD,digestate1,8,2023-06-04T00:00:00Z,2024-06-10T00:00:00Z,,
EHD,digestate1,9,2023-06-04T00:00:00Z,2024-06-10T00:00:00Z,,
EHD,digestate1,10,2023-06-04T00:00:00Z,2024-06-10T00:00:00Z,,
EHD,digestate1,11,2023-06-04T00:00:00Z,2024-06-10T00:00:00Z,,
EHD,digestate1,12,2023-06-04T00:00:00Z,2024-06-10T00:00:00Z,,
EHD,digestate1,13,2023-06-04T00:00:00Z,2024-06-10T00:00:00Z,,
EHD,digestate1,14,2023-06-04T00:00:00Z,2024-06-10T00:00:00Z,,
EHD,digestate1,15,2023-06-04T00:00:00Z,2024-06-10T00:00:00Z,,
EHD,digestate1,16,2023-06-04T00:00:00Z,2024-06-10T00:00:00Z,,
EHD,digestate1,17,2023-06-04T00:00:00Z,2024-06-10T00:00:00Z,,
EHD,digestate1,18,2023-06-04T00:00:00Z,2024-06-10T00:00:00Z,,
EHD,digestate1,1,2023-06-12T00:00:00Z,2023-06-24T10:00:00Z,,
EHD,digestate1,2,2023-06-12T00:00:00Z,2023-06-24T10:00:00Z,,
EHD,digestate1,3,2023-06-12T00:00:00Z,2023-06-24T10:00:00Z,,
EHD,digestate1,4,2023-06-12T00:00:00Z,2023-06-24T10:00:00Z,,
EHD,digestate1,5,2023-06-12T00:00:00Z,2023-06-24T10:00:00Z,,
EHD,digestate1,6,2023-06-12T00:00:00Z,2023-06-24T10:00:00Z,,
EHD,digestate1,7,2023-06-12T00:00:00Z,2023-06-24T10:00:00Z,,
EHD,digestate1,8,2023-06-12T00:00:00Z,2023-06-24T10:00:00Z,,
EHD,digestate1,9,2023-06-12T00:00:00Z,2023-06-24T10:00:00Z,,
EHD,digestate1,10,2023-06-12T00:00:00Z,2023-06-24T10:00:00Z,,
EHD,digestate1,11,2023-06-12T00:00:00Z,2023-06-24T10:00:00Z,,
EHD,digestate1,12,2023-06-12T00:00:00Z,2023-06-24T10:00:00Z,,
EHD,digestate1,13,2023-06-12T00:00:00Z,2023-06-24T10:00:00Z,,
EHD,digestate1,14,2023-06-12T00:00:00Z,2023-06-24T10:00:00Z,,
EHD,digestate1,15,2023-06-12T00:00:00Z,2023-06-24T10:00:00Z,,
EHD,digestate1,16,2023-06-12T00:00:00Z,2023-06-24T10:00:00Z,,
EHD,digestate1,17,2023-06-12T00:00:00Z,2023-06-24T10:00:00Z,,
EHD,digestate1,18,2023-06-12T00:00:00Z,2023-06-24T10:00:00Z,,
EHD,digestate1,1,2023-07-06T00:00:00Z,2023-07-08T00:00:00Z,,
EHD,digestate1,2,2023-07-06T00:00:00Z,2023-07-08T00:00:00Z,,
EHD,digestate1,3,2023-07-06T00:00:00Z,2023-07-08T00:00:00Z,,
EHD,digestate1,4,2023-07-06T00:00:00Z,2023-07-08T00:00:00Z,,
EHD,digestate1,5,2023-07-06T00:00:00Z,2023-07-08T00:00:00Z,,
EHD,digestate1,6,2023-07-06T00:00:00Z,2023-07-08T00:00:00Z,,
EHD,digestate1,7,2023-07-06T00:00:00Z,2023-07-08T00:00:00Z,,
EHD,digestate1,8,2023-07-06T00:00:00Z,2023-07-08T00:00:00Z,,
EHD,digestate1,9,2023-07-06T00:00:00Z,2023-07-08T00:00:00Z,,
EHD,digestate1,10,2023-07-06T00:00:00Z,2023-07-08T00:00:00Z,,
EHD,digestate1,11,2023-07-06T00:00:00Z,2023-07-08T00:00:00Z,,
EHD,digestate1,12,2023-07-06T00:00:00Z,2023-07-08T00:00:00Z,,
EHD,digestate1,13,2023-07-06T00:00:00Z,2023-07-08T00:00:00Z,,
EHD,digestate1,14,2023-07-06T00:00:00Z,2023-07-08T00:00:00Z,,
EHD,digestate1,15,2023-07-06T00:00:00Z,2023-07-08T00:00:00Z,,
EHD,digestate1,16,2023-07-06T00:00:00Z,2023-07-08T00:00:00Z,,
EHD,digestate1,17,2023-07-06T00:00:00Z,2023-07-08T00:00:00Z,,
EHD,digestate1,18,2023-07-06T00:00:00Z,2023-07-08T00:00:00Z,,
